xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
16,11,7,26,31,5,19,1,21.0,24,1.6830480098724365
7,26,16,11,19,1,31,5,21.0,24,1.6830480098724365
28,7,26,18,10,19,29,6,24.5,16,6.532679080963135
26,18,28,7,29,6,10,19,24.5,16,6.532679080963135
21,18,13,31,5,24,21,6,25.5,21,60.0
13,31,21,18,21,6,5,24,25.5,21,60.0
29,26,30,22,31,13,8,5,20.0,29,2.7829439640045166
30,22,29,26,8,5,31,13,20.0,29,2.7829439640045166
13,24,17,28,7,10,21,18,16.0,15,1.5322778224945068
17,28,13,24,21,18,7,10,16.0,15,1.5322778224945068
24,11,1,13,27,10,3,9,30.0,28,60.0
1,13,24,11,3,9,27,10,30.0,28,60.0
20,6,20,22,26,7,4,9,25.0,21,2.1626641750335693
20,22,20,6,4,9,26,7,25.0,21,2.1626641750335693
30,7,31,20,4,25,22,18,19.5,19,1.6325199604034424
31,20,30,7,22,18,4,25,19.5,19,1.6325199604034424
15,13,19,18,6,24,5,27,6.5,8,0.565039873123169
19,18,15,13,5,27,6,24,6.5,8,0.565039873123169
25,18,16,19,13,12,29,31,22.5,17,2.2285962104797363
16,19,25,18,29,31,13,12,22.5,17,2.2285962104797363
2,27,21,23,2,5,1,10,16.5,21,1.5943238735198975
21,23,2,27,1,10,2,5,16.5,21,1.5943238735198975
6,26,29,25,22,26,31,13,25.0,16,1.917569875717163
29,25,6,26,31,13,22,26,25.0,16,1.917569875717163
29,29,13,26,29,10,19,12,18.5,19,13.506347179412842
13,26,29,29,19,12,29,10,18.5,19,13.506347179412842
30,12,14,2,29,16,2,5,34.0,34,25.10183024406433
14,2,30,12,2,5,29,16,34.0,34,25.10183024406433
29,20,17,20,19,31,29,14,21.5,17,9.433289051055908
17,20,29,20,29,14,19,31,21.5,17,9.433289051055908
27,17,13,29,17,13,27,28,27.5,20,2.080457925796509
13,29,27,17,27,28,17,13,27.5,20,2.080457925796509
22,15,15,19,24,10,3,12,21.0,27,3.0846328735351562
15,19,22,15,3,12,24,10,21.0,27,3.0846328735351562
13,15,21,28,3,19,5,31,19.5,17,1.5177888870239258
21,28,13,15,5,31,3,19,19.5,17,1.5177888870239258
25,28,19,1,14,15,14,6,42.0,21,60.0
19,1,25,28,14,6,14,15,42.0,21,60.0
13,27,27,2,25,29,10,28,27.5,27,2.4854230880737305
27,2,13,27,10,28,25,29,27.5,27,2.4854230880737305
